Service Name,Service Category,Price,Duration,Service Location,Vehicle Size,Film Type,Protection Level,Correction Level,Notes
Full Detail - Sedan/Compact,Full Detail,$290,3-4 hours,Mobile or In-Shop,Sedan/Compact,N/A,N/A,N/A,Complete interior and exterior detailing
Full Detail - SUV 5-Seater/Extended Cab,Full Detail,$320,3-4 hours,Mobile or In-Shop,SUV 5-Seater/Extended Cab,N/A,N/A,N/A,Complete interior and exterior detailing
Full Detail - SUV 7-Seater/XL Van,Full Detail,$350,3-4 hours,Mobile or In-Shop,SUV 7-Seater/XL Van,N/A,N/A,N/A,Complete interior and exterior detailing for large vehicles
Interior Detailing - Sedan/Compact,Interior Detailing,$220,2-3 hours,Mobile or In-Shop,Sedan/Compact,N/A,N/A,N/A,Deep interior cleaning with leather conditioning and UV protection
Interior Detailing - SUV 5-Seater/Extended Cab,Interior Detailing,$250,2-3 hours,Mobile or In-Shop,SUV 5-Seater/Extended Cab,N/A,N/A,N/A,Deep interior cleaning with leather conditioning and UV protection
Interior Detailing - SUV 7-Seater/XL Van,Interior Detailing,$280,2-3 hours,Mobile or In-Shop,SUV 7-Seater/XL Van,N/A,N/A,N/A,Deep interior cleaning for large vehicles with extra seating
Exterior Detailing - Express Hand Wash,Exterior Detailing,$85,1-2 hours,Mobile or In-Shop,All Vehicles,N/A,N/A,N/A,Hand wash wheel cleaning and quick tire shine
Exterior Detailing - Full Decontamination Wash,Exterior Detailing,$200,2-3 hours,Mobile or In-Shop,All Vehicles,N/A,N/A,N/A,Clay bar treatment paint correction polishing and wax protection
Mobile Detailing - Mobile Express,Mobile Detailing,$89,1-2 hours,Mobile Only,All Vehicles,N/A,N/A,N/A,Quick exterior wash and basic interior cleaning at your location
Mobile Detailing - Mobile Premium,Mobile Detailing,$149,2-3 hours,Mobile Only,All Vehicles,N/A,N/A,N/A,Enhanced mobile detailing with more thorough cleaning
Mobile Detailing - Mobile Luxury,Mobile Detailing,$229,3-4 hours,Mobile Only,Luxury Vehicles,N/A,N/A,N/A,Premium mobile detailing for luxury vehicles with top products
Ceramic Coating - Standard Protection 3-5 Year,Ceramic Coating,$705,1-2 days,In-Shop,All Vehicles,N/A,3-5 Year,N/A,Entry level paint protection with 10H hardness coating
Ceramic Coating - Premium Protection 5-8 Year,Ceramic Coating,$905,1-2 days,In-Shop,All Vehicles,N/A,5-8 Year,N/A,Premium paint protection with advanced ceramic coating
Ceramic Coating - Ultimate Combo 1-Step + Ceramic,Ceramic Coating,$1255,1-2 days,In-Shop,All Vehicles,N/A,5-8 Year,1-Step Paint Correction,Paint correction plus ceramic coating package
Paint Correction - Classic 1-Step,Paint Correction,$650,4-6 hours,In-Shop,All Vehicles,N/A,N/A,1-Step,Single stage machine polishing for light to moderate swirls
Paint Correction - Premium 2-Step,Paint Correction,$1300,6-8 hours,In-Shop,All Vehicles,N/A,N/A,2-Step,Two stage machine polishing for heavy swirl and scratch removal
Window Tinting - Carbon Film Full Tint,Window Tinting,$300,2-3 hours,In-Shop,All Vehicles,Carbon Film,N/A,N/A,All side windows and rear window with carbon film
Window Tinting - Carbon Film Windshield,Window Tinting,$100,1-2 hours,In-Shop,All Vehicles,Carbon Film,N/A,N/A,Windshield visor strip with legal 70% VLT carbon film
Window Tinting - Carbon Film Visor Sunstrip,Window Tinting,$50,1 hour,In-Shop,All Vehicles,Carbon Film,N/A,N/A,6-inch top windshield carbon film strip only
Window Tinting - Ceramic Film Full Tint,Window Tinting,$400,2-3 hours,In-Shop,All Vehicles,Ceramic Film,N/A,N/A,Premium ceramic tint for all side windows and rear window
Window Tinting - Ceramic Film Windshield,Window Tinting,$185,1-2 hours,In-Shop,All Vehicles,Ceramic Film,N/A,N/A,Full windshield premium ceramic tint with legal compliance
Window Tinting - Ceramic Film Visor Sunstrip,Window Tinting,$85,1 hour,In-Shop,All Vehicles,Ceramic Film,N/A,N/A,Premium ceramic 6-inch windshield strip
RV Detailing - Compact RV 10-15 Feet,RV Detailing,$585,4-6 hours,Mobile or In-Shop,Compact RV 10-15ft,N/A,N/A,N/A,Complete interior and exterior for compact RVs and campers
RV Detailing - Standard RV 20-30 Feet,RV Detailing,$785,5-7 hours,Mobile or In-Shop,Standard RV 20-30ft,N/A,N/A,N/A,Complete interior and exterior for standard size RVs
RV Detailing - Large RV 35-45 Feet,RV Detailing,$985,6-8 hours,Mobile or In-Shop,Large RV 35-45ft,N/A,N/A,N/A,Complete interior and exterior for large motorhomes and Class A RVs
Boat Detailing - Compact Boat 10-15 Feet,Boat Detailing,$485,3-4 hours,Mobile at Marina or Dock,Compact Boat 10-15ft,N/A,N/A,N/A,Hull cleaning deck detailing and cabin cleaning for small boats
Boat Detailing - Standard Boat 20-30 Feet,Boat Detailing,$635,4-5 hours,Mobile at Marina or Dock,Standard Boat 20-30ft,N/A,N/A,N/A,Complete boat detailing with marine-grade products for mid-size boats
Boat Detailing - Large Boat 35-45 Feet,Boat Detailing,$785,5-6 hours,Mobile at Marina or Dock,Large Boat 35-45ft,N/A,N/A,N/A,Comprehensive detailing for large vessels with gel coat restoration
Fleet Detailing - Per Vehicle,Commercial Fleet,$89,2-3 hours,On-site or In-Shop,All Vehicles,N/A,N/A,N/A,Volume discounts available for multiple vehicles - scheduled maintenance programs
Dealership Detailing - Per Vehicle,Commercial Dealership,$75,2-3 hours,On-site or In-Shop,All Vehicles,N/A,N/A,N/A,Pre-sale vehicle preparation and bulk service agreements available
